POZO;LONGITUD;LATITUD;X;Y;ESTADO;CABEZAL;CONTRAPOZO;CERRAMIENTO;DISPOSITIVO DE SEGURIDAD;SEÑALÉTICA;RADIO DE AMORTIGUAMIENTO;CONTAMINACION;H2S;O2;CO;LEL
ANC0033;-808.471.093.607.207;-232.574.465.181.535;516999;9742933;Inactivo;NO;NO;NO;NO;NO;SI;NO;0;0;0;0%
ANC0045;-808.479.279.919.596;-232.415.244.546.987;516908;9743109;Inactivo;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0344;-808.485.932.016.822;-2327445673538;516834;9742745;Inactivo;NO;NO;SI;SI;NO;NO;NO;0;0;0;0%
ANC0070;-80.848.593.201.641;-2327445673741;517246;9742760;Inactivo;NO;SI;NO;NO;NO;NO;NO;0;0;0;0%
ANC0064;-808.495.733.853.611;-232.906.521.572.583;516725;9742566;Inactivo;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0066;-808.477.567.565.575;-232.740.034.733.656;516677;9742388;Inactivo;NO;SI;SI;SI;NO;SI;NO;0;0;0;0%
ANC0050;-808.480.983.535.644;-232.906.505.664.374;516639;9742206;Inactivo;SI;SI;NO;NO;SI;SI;NO;0;0;0;0%
ANC0044;-808.507.707.551.247;-231.806.402.923.865;516340;9743424;Inactivo;NO;SI;SI;SI;NO;NO ;NO;0;0;0;0%
ANC0075;-80.853.810.938.894;-231.609.207.253.703;516267;9743985;Producción;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0016;-80.853.198.707.952;-232.228.024.936.314;516322;9743316;Producción;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0022;-808.523.171.167.189;-232.395.387.686.752;516672;9743409;Suspendido;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0028;-808.509.951.512.815;-232.240.667.738.666;516563;9743281;Suspendido;NO;NO;NO;NO;NO;NO;NO;0;0;0;1%
ANC028A;-80.850.905.024.773;-232.417.990.603.708;516583;9743075;SWAB;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
